CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,st1,GEOID
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Brown County,South Dakota,46,013,Central,46000,46013
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Edmunds County,South Dakota,46,045,Outlying,46000,46045
10140,,,"Aberdeen, WA",Micropolitan Statistical Area,,,Grays Harbor County,Washington,53,027,Central,53000,53027
10180,,101,"Abilene, TX",Metropolitan Statistical Area,,"Abilene-Sweetwater, TX",Callahan County,Texas,48,059,Outlying,48000,48059
10180,,101,"Abilene, TX",Metropolitan Statistical Area,,"Abilene-Sweetwater, TX",Jones County,Texas,48,253,Outlying,48000,48253
10180,,101,"Abilene, TX",Metropolitan Statistical Area,,"Abilene-Sweetwater, TX",Taylor County,Texas,48,441,Central,48000,48441
10220,,,"Ada, OK",Micropolitan Statistical Area,,,Pontotoc County,Oklahoma,40,123,Central,40000,40123
10300,,220,"Adrian, MI",Micropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,091,Central,26000,26091
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Aguada Municipio,Puerto Rico,72,003,Central,72000,72003
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Aguadilla Municipio,Puerto Rico,72,005,Central,72000,72005
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Añasco Municipio,Puerto Rico,72,011,Central,72000,72011
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Isabela Municipio,Puerto Rico,72,071,Central,72000,72071
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Moca Municipio,Puerto Rico,72,099,Central,72000,72099
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Rincón Municipio,Puerto Rico,72,117,Central,72000,72117
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",San Sebastián Municipio,Puerto Rico,72,131,Central,72000,72131
10420,,184,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Portage County,Ohio,39,133,Central,39000,39133
10420,,184,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Summit County,Ohio,39,153,Central,39000,39153
10460,,,"Alamogordo, NM",Micropolitan Statistical Area,,,Otero County,New Mexico,35,035,Central,35000,35035
10480,,,"Alamosa, CO",Micropolitan Statistical Area,,,Alamosa County,Colorado,08,003,Central,8000,8003
10480,,,"Alamosa, CO",Micropolitan Statistical Area,,,Conejos County,Colorado,08,021,Outlying,8000,8021
10480,,,"Alamosa, CO",Micropolitan Statistical Area,,,Costilla County,Colorado,08,023,Outlying,8000,8023
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Dougherty County,Georgia,13,095,Central,13000,13095
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Lee County,Georgia,13,177,Central,13000,13177
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Terrell County,Georgia,13,273,Outlying,13000,13273
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Worth County,Georgia,13,321,Outlying,13000,13321
10540,,440,"Albany, OR",Metropolitan Statistical Area,,"Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,41,043,Central,41000,41043
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Albany County,New York,36,001,Central,36000,36001
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Rensselaer County,New York,36,083,Central,36000,36083
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Saratoga County,New York,36,091,Outlying,36000,36091
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Schenectady County,New York,36,093,Central,36000,36093
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Schoharie County,New York,36,095,Outlying,36000,36095
10620,,172,"Albemarle, NC",Micropolitan Statistical Area,,"Charlotte-Concord, NC-SC",Stanly County,North Carolina,37,167,Central,37000,37167
10660,,,"Albert Lea, MN",Micropolitan Statistical Area,,,Freeborn County,Minnesota,27,047,Central,27000,27047
10700,,290,"Albertville, AL",Micropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL-TN",Marshall County,Alabama,01,095,Central,1000,1095
10740,,105,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Los Alamos, NM",Bernalillo County,New Mexico,35,001,Central,35000,35001
10740,,105,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Los Alamos, NM",Sandoval County,New Mexico,35,043,Central,35000,35043
10740,,105,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Los Alamos, NM",Torrance County,New Mexico,35,057,Outlying,35000,35057
